filename,frame,actual_kam,predicted_kam
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,0,-0.06881883,-0.25396854
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,1,-0.24759866,-0.2613309
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,2,-0.39924267,-0.24906713
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,3,-0.49131265,-0.22481269
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,4,-0.42828506,-0.1310446
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,5,-0.04280852,0.16612855
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,6,0.7246081,0.63266027
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,7,1.6790179,1.2988954
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,8,2.462515,2.0834274
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,9,2.853431,2.4280207
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,10,2.9538836,2.610627
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,11,3.0045264,3.4872093
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,12,3.0710897,4.1156197
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,13,3.0513873,4.249093
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,14,2.9141455,4.28734
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,15,2.755859,4.248496
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,16,2.6755595,4.1868424
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,17,2.6995924,4.1797056
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,18,2.804601,4.2267737
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,19,2.9501312,4.3321533
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,20,3.0881178,4.4366384
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,21,3.1684368,4.5250697
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,22,3.1564252,4.490512
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,23,3.0502117,4.4552584
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,24,2.880462,4.397352
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,25,2.6989949,4.3458796
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,26,2.5528862,4.280658
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,27,2.4582238,4.166439
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,28,2.402761,3.958466
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,29,2.3672552,3.792834
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,30,2.3401458,3.6348586
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,31,2.316103,3.523511
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,32,2.2910314,3.4786942
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,33,2.2639122,3.4209414
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,34,2.2364404,3.371863
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,35,2.210634,3.335359
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,36,2.1862288,3.3077424
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,37,2.1629796,3.284141
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,38,2.1431007,3.247888
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,39,2.13346,3.22437
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,40,2.137232,3.207108
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,41,2.151977,3.2767568
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,42,2.1705432,3.3736727
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,43,2.1829858,3.455506
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,44,2.1856802,3.5213246
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,45,2.1832993,3.5908604
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,46,2.1823,3.638487
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,47,2.1839166,3.7271085
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,48,2.1891289,3.8605862
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,49,2.2013364,3.9887238
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,50,2.232923,4.0573816
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,51,2.2999864,4.0442514
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,52,2.4018888,3.968203
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,53,2.498021,3.9218605
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,54,2.5095818,3.8399262
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,55,2.3498647,3.682695
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,56,1.9895854,3.382141
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,57,1.489605,3.1432297
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,58,0.95354766,2.8149562
