n,peak KAM1 Actual,peak KAM1 Predict,peak KAM2 Actual,peak KAM2 Predict
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,3.1684368,4.485438,2.5095818,4.21798
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,3.393121,4.4719477,3.0035334,4.2842526
L_04e9929e-18dd-4f25-bdff-25a48efbb1ef_model.csv,2.2243392,3.8675134,1.7805443,3.79479
L_09ed5a7a-d928-41e3-8c63-16550a28380a_model.csv,0.9705402,3.3135626,0.95546657,3.0867503
L_0a9fa79f-f8af-481b-acab-1f72b694c968_model.csv,4.1145005,3.9734218,2.1724117,3.9830987
L_0b02ad63-0bec-4b8a-8087-f1771a13b07b_model.csv,5.6469293,5.8117113,5.3117957,5.8280215
L_0b143401-79ad-4490-8dde-e96fc07ecfd7_model.csv,4.626467,5.147295,1.1592243,4.955281
L_0c457dde-032c-40b2-ab83-1fd592588b23_model.csv,0.8244074,4.9825125,0.16531803,4.788913
L_0d8ff9a6-5baf-48c2-9263-3ed6d8191bd6_model.csv,2.481154,4.9915247,2.0679812,4.8733597
L_0df971c1-9f1e-462d-9c74-ffbad438fa23_model.csv,2.6523468,3.8871207,1.8766961,3.6571906
L_0e59fce6-934b-405d-8956-8e88629fe61b_model.csv,7.560631,4.4800653,6.767574,4.4712133
L_0f5d65fc-c9db-421f-8cd8-9f296cbd6fe8_model.csv,4.0603857,5.005906,3.125688,4.726287
L_0fa43afd-d42b-4e21-8c1e-a33168b502ff_model.csv,6.2782598,4.418553,6.460489,4.0053225
L_12b9bcf4-8079-421c-9239-62ea9454c236_model.csv,4.4250226,4.9833555,3.5253663,5.0700107
L_14685af5-80f5-4445-82e6-c9f029cb6978_model.csv,4.91517,4.249278,2.685604,4.0179653
L_150a822e-4d02-43c5-813b-c4aee29cd221_model.csv,4.557075,4.3838043,2.3795657,4.480878
L_161c1e7b-92b2-41e2-9f8e-b1f80c6832b4_model.csv,3.6505246,4.2346463,4.006136,4.157783
L_16549edb-761c-4ea0-9be9-93cfb5ffd067_model.csv,3.8758903,5.2556868,3.8857756,5.1477222
L_16f5602f-4df9-4483-b665-a57cdcc3758f_model.csv,1.1560824,3.5870326,1.851158,3.4486034
L_17e47715-4427-4b4f-b482-051949a5523a_model.csv,1.8737229,4.205311,2.3677616,3.9240043
L_17eeec4e-edd9-481a-87be-b35d629cb603_model.csv,5.639406,5.6925697,5.0745435,5.687231
L_18dec793-c434-4852-b6b3-d5abbfe6df6e_model.csv,10.793587,5.775742,9.691138,5.708186
L_1cdb513a-7049-46e7-8a31-6c752ec30000_model.csv,0.99951667,3.5589523,0.47002462,3.2790449
L_1e695668-5a12-491a-a095-cfec2b206dea_model.csv,5.5706167,5.950345,4.9640064,5.8884106
L_1f3034b1-b94f-475f-957c-bf8bcee5bc95_model.csv,5.1264863,5.12938,5.0678735,5.130679
L_1ffdf709-fc55-4669-b9cf-369fe5cdfd0f_model.csv,3.9542494,5.6081505,6.1938796,5.4783964
L_22d49844-2d73-47bc-8894-4f2433cbfaca_model.csv,6.0461173,4.2288656,4.1378884,3.885624
L_23427dc3-da00-4a83-95fb-2421374b3fed_model.csv,7.0097437,5.751663,6.534835,5.713697
L_263989b7-686d-42bb-a860-c745550016ad_model.csv,3.837903,5.1216464,4.20727,5.191943
